Name,Type,Address,Opening Hour,Closing Hour
Escape Games Worcester,Tourist Attraction,108 Grove St Worcester MA 01605,12,10
DCU Center,Convention center,50 Foster St Worcester MA 01608,,
Mechanics Hall,Concert hall,321 Main St Worcester MA 01608,,
Palladium,Auditorium,261 Main St Worcester MA 01608,,
The Hanover Theatre and Conservatory for the Performing Arts,Performing arts theater,2 Southbridge St Worcester MA 01608,,
Showcase Cinemas Worcester North,Movie theater,135 Brooks St Worcester MA 01606,,
Live Action Escapes,Escape room center,1 Exchange St Worcester MA 01608,10,9
Barnyard Zoo,Park,127 Green Hill Pkwy Worcester MA 01605,10,3
Green Hill Park,Park,50 Skyline Dr Worcester MA 01605,5,10
Worcester Center for Crafts,Art education,25 Sagamore Rd Worcester MA 01605,9,5
