Name,Type,Address,Open Hour (AM),Closing Hour (PM)
The Fix Burger Bar,Hamburger restaurant,108 Grove St Worcester MA 01605,11,2
Ralph's Diner,Live Music Venue,148 Grove St Worcester MA 01605,4,2
Lucky's Cafe,Fast food restaurant,102 1/2 Grove St Worcester MA 01605,8,2.5
The Goats Head,American restuarant,Boynton St Worcester MA 01609,5,10
Oak Barrel Tavern,American restaurant,229 Grove St Worcester MA 01605,11.5,10
Mezcal Tequila Cantina,Mexican restuarant,"30 Major Taylor Blvd Worcester, MA 01608",11,11
Thai Time,Asian restuarant,107 Highland St Worcester MA 01609,11.5,10
Restaurant Pizza Works,Pizza restaurant ,"456 Grove St Worcester, MA 01605",11,10
Shawarma Palace,Mediterranean restaurant,3 Pleasant St Worcester MA 01609,10,4
Wingstop,Chicken wings restuarant,542 Southbridge St Worcester MA 01610,11,12
Wings Over Worcester,Chicken wings restuarant,1 Kelley Square Worcester MA 01610,11,12
